parcel,year,error
01130329052,2008,'Assessments'
01130409012,2015,'Billing'
01130408010,2015,'Billing'
01140208004,1999,'Assessments'
01130408012,2015,'Billing'
01130408015,2015,'Billing'
01130428017,2022,'Billing'
01130408001,2015,'Billing'
01130419012,2022,'Billing'
01130419011,2022,'Billing'
01130408013,2015,'Billing'
01140300010,2005,'Assessments'
01130420004,2022,'Billing'
01140208019,2015,'Billing'
01130419014,2022,'Billing'
01140205005,2015,'Billing'
01130419013,2022,'Billing'
01130428038,2022,'Billing'
01130503003,2015,'Billing'
01130428041,2022,'Billing'
01130428056,2022,'Billing'
01130428052,2022,'Billing'
01130505002,2015,'Billing'
01130419001,2022,'Billing'
01130420005,2017,'Billing'
01130430001,2022,'Billing'
01130428043,2022,'Billing'
01130418012,2015,'Billing'
01130429025,2022,'Billing'
01130418010,2015,'Billing'
01130429053,2022,'Billing'
01130430018,2022,'Billing'
01130428046,2022,'Billing'
01130429035,2022,'Billing'
01140208033,2015,'Billing'
01130428049,2022,'Billing'
01130430003,2022,'Billing'
01130428055,2022,'Billing'
01130428050,2022,'Billing'
01130420008,2017,'Billing'
01130428047,2022,'Billing'
01130429033,2022,'Billing'
01130428044,2022,'Billing'
01130429022,2022,'Billing'
01130429030,2022,'Billing'
01130409005,2015,'Billing'
01130429017,2022,'Billing'
01130428015,2022,'Billing'
01130428060,2022,'Billing'
01130408016,2015,'Billing'
01130430011,2022,'Billing'
01130430031,2022,'Billing'
01130428016,2022,'Billing'
01130420022,2010,'Billing'
01130418011,2015,'Billing'
01130430022,2022,'Billing'
01130429023,2022,'Billing'
01130430030,2022,'Billing'
01130430032,2022,'Billing'
01130428040,2022,'Billing'
01130430023,2022,'Billing'
01130428054,2022,'Billing'
01130409008,2015,'Billing'
01130428042,2022,'Billing'
01130428018,2022,'Billing'
01130430005,2022,'Billing'
01130430021,2022,'Billing'
01130430035,2022,'Billing'
01130430020,2022,'Billing'
01130430025,2022,'Billing'
01130429031,2022,'Billing'
01130429018,2022,'Billing'
01130430006,2022,'Billing'
01130430027,2022,'Billing'
01130505001,2015,'Billing'
01130430010,2022,'Billing'
01130430004,2022,'Billing'
01130430019,2022,'Billing'
01130419005,2017,'Billing'
01130429021,2022,'Billing'
01130430034,2022,'Billing'
01130428045,2022,'Billing'
01130428039,2022,'Billing'
01130429020,2022,'Billing'
01130428048,2022,'Billing'
01130429024,2022,'Billing'
01130430024,2022,'Billing'
01130429028,2022,'Billing'
01130429026,2022,'Billing'
01130409002,2015,'Billing'
01130430009,2022,'Billing'
01130430033,2022,'Billing'
01130430029,2022,'Billing'
01130429029,2022,'Billing'
01130420021,2010,'Billing'
01130430036,2022,'Billing'
01130429027,2022,'Billing'
01130428053,2022,'Billing'
01130430012,2022,'Billing'
01130419004,2017,'Billing'
01130430008,2022,'Billing'
01130430007,2022,'Billing'
01130430017,2022,'Billing'
01130430028,2022,'Billing'
01130503005,2015,'Billing'
01130429019,2022,'Billing'
01134429001,2012,'Billing'
01130418013,2015,'Billing'
01130429032,2022,'Billing'
01130430026,2022,'Billing'
01130429034,2022,'Billing'
01130503006,2015,'Billing'
01130430002,2022,'Billing'
01130512009,2001,'Assessments'
01130418014,2015,'Billing'
01230100012,2004,'Billing'
01130419018,2017,'Billing'
01130503004,2015,'Billing'
01130418016,2015,'Billing'
01130428051,2022,'Billing'
01130419019,2017,'Billing'
01140203008,2022,'Billing'
01130419006,2017,'Billing'
01130420025,2022,'Billing'
01230505003,1995,'Assessments'
01140208025,2022,'Billing'
0113X405001,2011,'Assessments'
01130420007,2017,'Billing'
01230100013,2005,'Billing'
01130418015,2015,'Billing'
01130420023,2017,'Billing'
01130420024,2017,'Billing'
01130409007,2015,'Billing'
01130409004,2015,'Billing'
0113X406001,2015,'Assessments'
01130420016,2017,'Billing'
01130409006,2015,'Billing'
01130503007,2017,'Billing'
01130409003,2015,'Billing'
01130420009,2017,'Billing'
01230100020,2018,'Billing'
01230100017,2018,'Billing'
01230100019,2018,'Billing'
01240111005,2015,'Property Information'
01230100018,2018,'Billing'
01230100015,2018,'Billing'
01230100016,2018,'Billing'
01240111025,2003,'Assessments'
01130420006,2017,'Billing'
01230505004,2016,'Billing'
01240107001,2022,'Billing'
01230505013,2016,'Billing'
01230505018,2004,'Billing'
01230505014,2016,'Billing'
01230505017,2004,'Billing'
01240111055,2023,list index out of range
01240111056,2023,list index out of range
01240113037,2003,'Billing'
01230505016,2004,'Billing'
01240107035,2009,'Billing'
01240113038,2003,'Billing'
01240111057,2023,list index out of range
01240113036,2003,'Billing'
01230505019,2004,'Billing'
01240112021,2022,'Billing'
01240107036,2009,'Billing'
01240107038,2009,'Billing'
01240119028,2003,'Billing'
01240114005,2003,'Billing'
01240107037,2009,'Billing'
01240112023,2022,'Billing'
01240112012,2022,'Billing'
01240112011,2022,'Billing'
01240114006,2003,'Billing'
01240114007,2003,'Billing'
01240119026,2003,'Billing'
0113X405002,2015,'Assessments'
01240111006,2015,'Billing'
01240112013,2022,'Billing'
01240111051,2020,'Billing'
01240130032,2009,'Assessments'
01240116055,2023,list index out of range
0113X404001,2011,'Assessments'
01240107021,2022,'Billing'
01240117007,2022,'Billing'
01240112014,2022,'Billing'
01240116039,2016,'Billing'
01240127032,2003,'Billing'
01240127033,2003,'Billing'
01240125024,2003,'Billing'
01240116003,2009,'Billing'
01240117008,2022,'Billing'
01240126037,2014,'Billing'
01240116040,2016,'Billing'
01240116002,2009,'Billing'
01240117009,2019,'Billing'
01240126038,2014,'Billing'
01240117011,2019,'Billing'
01240107022,2022,'Billing'
01240116001,2009,'Billing'
01240116041,2016,'Billing'
01240125022,2003,'Billing'
01240131020,2003,'Billing'
01240132046,2003,'Billing'
01240126036,2022,'Billing'
01240131019,2003,'Billing'
01240126018,2009,'Billing'
01240125023,2003,'Billing'
01240117023,2016,'Billing'
01240116009,2017,'Billing'
01240126019,2009,'Billing'
01240112052,2011,'Billing'
01240126039,2022,'Billing'
01240130024,2009,'Billing'
01240116013,2017,'Billing'
01240132038,2003,'Billing'
01240126034,2022,'Billing'
01240116010,2017,'Billing'
01240112019,2022,'Billing'
01240141048,2018,'Assessments'
01240117032,2003,'Billing'
01240117031,2003,'Billing'
01240141047,2018,'Assessments'
01240202054,1997,'Assessments'
01240112016,2017,'Billing'
01240130007,2013,'Billing'
01240130023,2009,'Billing'
01240131001,2022,'Billing'
01240130025,2009,'Billing'
01240130006,2013,'Billing'
01240117010,2019,'Billing'
01240116014,2017,'Billing'
01240117014,2019,'Billing'
01240117012,2019,'Billing'
01240137012,2009,'Billing'
01240116051,2017,'Billing'
01240135019,2003,'Billing'
01240135018,2003,'Billing'
01240112020,2022,'Billing'
01240117013,2019,'Billing'
01240137020,2022,'Billing'
01240111001,2017,'Billing'
01240137047,2020,'Assessments'
01240137011,2009,'Billing'
01240136041,2022,'Billing'
01240137021,2022,'Billing'
01240202071,1996,'Assessments'
01240111044,2017,'Billing'
01240137022,2022,'Billing'
01240137004,2019,'Billing'
01240139009,2022,'Billing'
01240112015,2017,'Billing'
01240117024,2016,'Billing'
01240137042,2018,'Billing'
01240200003,2022,'Billing'
01240202073,2014,'Billing'
01240201048,2022,'Billing'
01240202061,2014,'Billing'
01240200005,2022,'Billing'
01240205026,2003,'Billing'
01240205027,2003,'Billing'
01240205003,2003,'Billing'
01240204024,2004,'Billing'
01240200016,2022,'Billing'
01240205024,2003,'Billing'
01240205001,2003,'Billing'
01240137003,2019,'Billing'
01240200017,2022,'Billing'
01240205025,2003,'Billing'
01240201002,2022,'Billing'
01240201026,2022,'Billing'
01240200001,2022,'Billing'
01240200014,2022,'Billing'
01240200021,2022,'Billing'
01240201004,2022,'Billing'
01240200019,2022,'Billing'
01240200015,2022,'Billing'
01240204023,2004,'Billing'
01240205002,2003,'Billing'
01240141018,2022,'Billing'
01240200022,2022,'Billing'
01240137014,2018,'Billing'
01240205030,2003,'Billing'
01240205040,2003,'Billing'
01240201001,2022,'Billing'
01240205028,2003,'Billing'
01240200018,2022,'Billing'
01240201008,2022,'Billing'
01240200006,2022,'Billing'
01240202060,2014,'Billing'
01240201014,2022,'Billing'
01240201011,2022,'Billing'
01240200024,2022,'Billing'
01240200002,2022,'Billing'
01240200020,2022,'Billing'
01240201007,2022,'Billing'
01240137005,2019,'Billing'
01240201033,2022,'Billing'
01240201018,2022,'Billing'
01240201020,2022,'Billing'
01240201034,2022,'Billing'
01240200004,2022,'Billing'
01240204028,2022,'Billing'
01240201028,2022,'Billing'
01240201044,2022,'Billing'
01240201022,2022,'Billing'
01240202075,2020,'Billing'
01240201010,2022,'Billing'
01240201003,2022,'Billing'
01240205031,2003,'Billing'
01240201036,2022,'Billing'
01240201035,2022,'Billing'
01240201041,2022,'Billing'
01240201051,2022,'Billing'
01240201012,2022,'Billing'
01240201013,2022,'Billing'
01240201027,2022,'Billing'
01240201046,2022,'Billing'
01240201038,2022,'Billing'
01240201047,2022,'Billing'
01240202076,2020,'Billing'
01240201040,2022,'Billing'
01240201017,2022,'Billing'
01240208005,2022,'Billing'
01240201032,2022,'Billing'
01240201015,2022,'Billing'
01240201042,2022,'Billing'
01240201009,2022,'Billing'
01240205010,2011,'Billing'
01240201023,2022,'Billing'
01240200023,2022,'Billing'
01240201025,2022,'Billing'
01240201024,2022,'Billing'
01240201029,2022,'Billing'
01240201039,2022,'Billing'
01240141019,2022,'Billing'
01240201016,2022,'Billing'
01240205012,2011,'Billing'
01240201053,2022,'Billing'
01240201054,2022,'Billing'
01240203015,2009,'Billing'
01240201005,2022,'Billing'
01240201037,2022,'Billing'
01240202077,2022,'Billing'
01240201031,2022,'Billing'
01240201030,2022,'Billing'
01240201006,2022,'Billing'
01240201021,2022,'Billing'
01240201050,2022,'Billing'
01240201019,2022,'Billing'
01240202065,2016,'Billing'
01240137010,2009,'Billing'
01240204027,2022,'Billing'
01240201045,2022,'Billing'
01240201049,2022,'Billing'
01240201043,2022,'Billing'
01240203009,2009,'Billing'
01240201055,2022,'Billing'
01240137013,2018,'Billing'
01240201052,2022,'Billing'
01240201056,2022,'Billing'
01240202003,2014,'Billing'
01240208006,2022,'Billing'
01240137038,2019,'Billing'
01240137037,2019,'Billing'
01240202064,2016,'Billing'
01240202001,2014,'Billing'
01240202063,2016,'Billing'
01240208013,2006,'Billing'
01240203008,2009,'Billing'
01240203010,2009,'Billing'
01240224058,2009,'Assessments'
01240208012,2006,'Billing'
01240205042,2022,'Billing'
01240208008,2022,'Billing'
01240208017,2007,'Billing'
01240208003,2022,'Billing'
01240209001,2006,'Billing'
01240224006,2003,'Billing'
01240205041,2022,'Billing'
01240208004,2022,'Billing'
01240208007,2022,'Billing'
01240208014,2007,'Billing'
01240220035,2005,'Billing'
01240205039,2011,'Billing'
01240224007,2003,'Billing'
01240222003,2015,'Billing'
01240220005,2008,'Billing'
01240208018,2012,'Billing'
01240208019,2016,'Billing'
01240208002,2022,'Billing'
01240205029,2003,'Billing'
01240206008,2012,'Billing'
01240206009,2012,'Billing'
01240224043,2003,'Billing'
01240312120,2012,'Property Information'
01240216007,2010,'Billing'
01240220013,2010,'Billing'
01240220004,2008,'Billing'
01240203011,2009,'Billing'
01240216006,2010,'Billing'
01240220036,2005,'Billing'
01240224002,2003,'Billing'
01240206010,2012,'Billing'
01240221007,2010,'Billing'
01240221020,2010,'Billing'
01240216009,2010,'Billing'
01240223043,2022,'Billing'
01240221021,2010,'Billing'
01240220018,2010,'Billing'
01240206053,2022,'Billing'
01240221019,2010,'Billing'
01240220019,2010,'Billing'
01240206011,2012,'Billing'
01240221041,2013,'Billing'
01240225049,2020,'Assessments'
01240216012,2010,'Billing'
01240226035,2007,'Billing'
01240221002,2010,'Billing'
01240229019,2009,'Billing'
01240220015,2010,'Billing'
01240220033,2010,'Billing'
01240224014,2022,'Billing'
01240221042,2013,'Billing'
01240222001,2022,'Billing'
01240206052,2022,'Billing'
01240209002,2006,'Billing'
01240221040,2012,'Billing'
01240221010,2010,'Billing'
01240221046,2010,'Billing'
01240226062,2008,'Billing'
01240216008,2010,'Billing'
01240220012,2010,'Billing'
01240230028,2003,'Billing'
01240221001,2010,'Billing'
01240216014,2010,'Billing'
01240227001,2022,'Billing'
01240221013,2010,'Billing'
01240221004,2010,'Billing'
01240220034,2010,'Billing'
01240221009,2010,'Billing'
01240221008,2010,'Billing'
01240220029,2010,'Billing'
01240216010,2010,'Billing'
01240230029,2003,'Billing'
01240216013,2010,'Billing'
01240230030,2003,'Billing'
01240220014,2010,'Billing'
01240229064,2017,'Billing'
01240220030,2010,'Billing'
01240229018,2009,'Billing'
01240228030,2022,'Billing'
01240228010,2022,'Billing'
01240205014,2009,'Billing'
01240220055,2009,'Billing'
01240229057,2003,'Billing'
01240221005,2010,'Billing'
01240227036,2022,'Billing'
01240221003,2010,'Billing'
01240221031,2010,'Billing'
01240221011,2010,'Billing'
01240226036,2007,'Billing'
01240221039,2012,'Billing'
01240221029,2010,'Billing'
01240205013,2009,'Billing'
01240216011,2010,'Billing'
01240221045,2010,'Billing'
01240225011,2011,'Billing'
01240221032,2010,'Billing'
01240220046,2010,'Billing'
01240219042,2006,'Billing'
01240221006,2010,'Billing'
01240226037,2007,'Billing'
01240208015,2012,'Billing'
01240221012,2010,'Billing'
01240221030,2010,'Billing'
01240230022,2022,'Billing'
01240137039,2019,'Billing'
01240225012,2011,'Billing'
01240305007,2022,'Billing'
01240320046,1997,'Assessments'
01240320038,1998,'Assessments'
01240232042,2022,'Billing'
01240230021,2022,'Billing'
01240320062,1997,'Assessments'
01240320066,1998,'Assessments'
01240320109,2003,'Assessments'
01240320095,1998,'Assessments'
01240208016,2012,'Billing'
01240232039,2022,'Billing'
01240205015,2009,'Billing'
01240221043,2010,'Billing'
01240205037,2022,'Billing'
01240206007,2012,'Billing'
01240300003,2022,'Billing'
01240304005,2022,'Billing'
01240226039,2007,'Billing'
01240231022,2022,'Billing'
01240226041,2007,'Billing'
01240320108,2000,'Assessments'
01240226038,2007,'Billing'
01240228050,2022,'Billing'
01240206005,2012,'Billing'
01240300004,2022,'Billing'
01240226046,2009,'Billing'
01240226040,2007,'Billing'
01240232040,2022,'Billing'
01240234001,2022,'Billing'
01240228048,2022,'Billing'
01240206006,2012,'Billing'
01240232041,2022,'Billing'
01240305008,2022,'Billing'
01240300006,2016,'Billing'
01240308034,2022,'Billing'
01240317046,2022,'Billing'
01240308028,2022,'Billing'
01240312097,2022,'Billing'
01240304002,2022,'Billing'
01240308027,2022,'Billing'
01240300009,2016,'Billing'
01240301028,2022,'Billing'
01240226034,2008,'Billing'
01240313010,2022,'Billing'
01240208011,2016,'Billing'
01240308020,2022,'Billing'
01240301024,2022,'Billing'
01240308029,2022,'Billing'
01240312112,2022,'Billing'
01240324024,2000,'Assessments'
01240324014,1999,'Assessments'
01240300010,2016,'Billing'
01240229030,2017,'Billing'
01240308030,2022,'Billing'
01240308031,2022,'Billing'
01240308026,2022,'Billing'
01240304001,2022,'Billing'
01240324002,2001,'Assessments'
01240211004,2017,'Billing'
01240324021,2000,'Assessments'
01240312096,2022,'Billing'
01240210011,2017,'Billing'
01240309026,2022,'Billing'
01240312106,2022,'Billing'
01240324001,2000,'Assessments'
01240324019,2000,'Assessments'
01240312119,2022,'Billing'
01240302029,2022,'Billing'
01240229020,2009,'Billing'
01240312104,2022,'Billing'
01240308018,2022,'Billing'
01240313012,2022,'Billing'
01240308019,2022,'Billing'
01240308016,2022,'Billing'
01240300032,2022,'Billing'
01240308035,2022,'Billing'
01240327017,2000,'Assessments'
01240313015,2022,'Billing'
01240300011,2016,'Billing'
01240324028,2000,'Assessments'
01240300008,2016,'Billing'
01240312110,2022,'Billing'
01240229033,2015,'Billing'
01240313018,2022,'Billing'
01240229021,2009,'Billing'
01240308037,2022,'Billing'
01240312048,2022,'Billing'
01240319114,2022,'Billing'
01240300005,2016,'Billing'
01240312057,2022,'Billing'
01240312117,2022,'Billing'
01240314012,2022,'Billing'
01240226063,2022,'Billing'
01240326037,2003,'Assessments'
01240228049,2022,'Billing'
01240312045,2022,'Billing'
01240320098,2003,'Billing'
01240313009,2022,'Billing'
01240312046,2022,'Billing'
01240226045,2009,'Billing'
01240308036,2022,'Billing'
01240314016,2022,'Billing'
01240313017,2022,'Billing'
01240308024,2022,'Billing'
01240308032,2022,'Billing'
01240313016,2022,'Billing'
01240313014,2022,'Billing'
01240314045,2022,'Billing'
01240229029,2017,'Billing'
01240310043,2022,'Billing'
01240326013,2000,'Assessments'
01240312109,2022,'Billing'
01240314013,2022,'Billing'
01240314035,2022,'Billing'
01240317047,2020,'Billing'
01240317048,2020,'Billing'
01240325013,2000,'Assessments'
01240326011,1999,'Assessments'
01240308023,2022,'Billing'
01240308025,2022,'Billing'
01240310044,2022,'Billing'
01240313013,2022,'Billing'
01240320099,2003,'Billing'
01240312102,2022,'Billing'
01240226056,2022,'Billing'
01240326031,2003,'Assessments'
01240226055,2022,'Billing'
01240324029,2000,'Assessments'
01240313011,2022,'Billing'
01240300007,2016,'Billing'
01240317057,2022,'Billing'
01240325001,2000,'Assessments'
01240325011,2000,'Assessments'
01240322010,2003,'Billing'
01240233037,2017,'Billing'
01240324032,2000,'Assessments'
01240313042,2022,'Billing'
01240326003,2000,'Assessments'
01240229051,2015,'Billing'
01240317044,2022,'Billing'
01240327019,2000,'Assessments'
01240332015,2003,'Billing'
01240317056,2022,'Billing'
01240328004,1999,'Assessments'
01240312047,2022,'Billing'
01240313039,2022,'Billing'
01240317054,2022,'Billing'
01240233038,2017,'Billing'
01240317058,2022,'Billing'
01240301023,2022,'Billing'
01240326025,2003,'Assessments'
01240233039,2017,'Billing'
01240306007,2022,'Billing'
01240317059,2022,'Billing'
01240317021,2022,'Billing'
01240317055,2022,'Billing'
01240317020,2022,'Billing'
01240322105,2015,'Billing'
01240326021,2000,'Assessments'
01240317083,2022,'Billing'
01240317049,2020,'Billing'
01240312058,2022,'Billing'
01240300012,2016,'Billing'
01240317038,2022,'Billing'
01240314034,2022,'Billing'
01240317084,2022,'Billing'
01240317093,2022,'Billing'
01240317060,2022,'Billing'
01240317036,2022,'Billing'
01240317090,2022,'Billing'
01240317097,2020,'Billing'
01240317100,2022,'Billing'
01240319090,2022,'Billing'
01240317064,2022,'Billing'
01240319089,2022,'Billing'
01240318082,2022,'Billing'
01240317099,2022,'Billing'
01240317065,2022,'Billing'
01240312105,2022,'Billing'
01240312108,2022,'Billing'
01240317102,2022,'Billing'
01240332024,2003,'Billing'
01240319116,2022,'Billing'
01240317094,2022,'Billing'
01240334023,2003,'Billing'
01240318070,2022,'Billing'
01240317045,2022,'Billing'
01240318064,2022,'Billing'
01240318073,2022,'Billing'
01240326018,2003,'Assessments'
01240319107,2022,'Billing'
01240318080,2022,'Billing'
01240319103,2022,'Billing'
01240319081,2022,'Billing'
01240321058,2010,'Billing'
01240317096,2022,'Billing'
01240327007,2003,'Assessments'
01240333003,2003,'Billing'
01240317039,2022,'Billing'
01240301019,2022,'Billing'
01240319115,2022,'Billing'
01240319112,2022,'Billing'
01240319111,2022,'Billing'
01240301020,2022,'Billing'
01240318081,2022,'Billing'
01240327002,2003,'Billing'
01240327031,2003,'Assessments'
01240330005,2003,'Billing'
01240319113,2022,'Billing'
01240330014,2003,'Billing'
01240330004,2003,'Billing'
01240330013,2003,'Billing'
01240319117,2022,'Billing'
01240321057,2010,'Billing'
01240402020,2003,'Assessments'
01240330010,2003,'Billing'
01240330002,2003,'Billing'
01240327033,2001,'Assessments'
01240332010,2003,'Billing'
01240328036,2000,'Assessments'
01240330011,2003,'Billing'
01240332002,2003,'Billing'
01240330001,2003,'Billing'
01240301031,2022,'Billing'
01240327001,2003,'Billing'
01240330003,2003,'Billing'
01240205033,2018,'Billing'
01240334030,2003,'Billing'
01240332023,2003,'Billing'
01240332032,2003,'Billing'
01240334014,2003,'Billing'
01240332009,2003,'Billing'
01240332005,2003,'Billing'
01240330012,2003,'Billing'
01240332029,2003,'Billing'
01240332012,2003,'Billing'
01240229014,2012,'Billing'
01240314048,2013,'Billing'
01240332025,2003,'Billing'
01240317098,2022,'Billing'
01240332008,2003,'Billing'
01240332030,2003,'Billing'
01240317095,2022,'Billing'
01240324009,2000,'Assessments'
01240332027,2003,'Billing'
01240327005,2003,'Billing'
01240332006,2003,'Billing'
01240334005,2003,'Billing'
01240332041,2003,'Billing'
01240332020,2003,'Billing'
01240317101,2022,'Billing'
01240333004,2003,'Billing'
01240327004,2003,'Billing'
01240332028,2003,'Billing'
01240334001,2003,'Billing'
01240332022,2003,'Billing'
01240332001,2003,'Billing'
01240332033,2003,'Billing'
01240332011,2003,'Billing'
01240333001,2003,'Billing'
01240229015,2012,'Billing'
01240332013,2003,'Billing'
01240333005,2003,'Billing'
01240333027,2003,'Billing'
01240332034,2003,'Billing'
01240333002,2003,'Billing'
01240332021,2003,'Billing'
01240334013,2003,'Billing'
01240334009,2003,'Billing'
01240334008,2003,'Billing'
01240334031,2003,'Billing'
01240333006,2003,'Billing'
01240332031,2003,'Billing'
01240332007,2003,'Billing'
01240334032,2003,'Billing'
01240334010,2003,'Billing'
01240314047,2013,'Billing'
01240334006,2003,'Billing'
01240313043,2022,'Billing'
01240334024,2003,'Billing'
01240333036,2003,'Billing'
01240333025,2003,'Billing'
01240333007,2003,'Billing'
01240334027,2003,'Billing'
01240334007,2003,'Billing'
01240332026,2003,'Billing'
01240333028,2003,'Billing'
01240334025,2003,'Billing'
01240333010,2003,'Billing'
01240334035,2003,'Billing'
01240333008,2003,'Billing'
01240332014,2003,'Billing'
01240334002,2003,'Billing'
01240333029,2003,'Billing'
01240323073,2009,'Billing'
01240334028,2003,'Billing'
01240333032,2003,'Billing'
01240334011,2003,'Billing'
01240334036,2003,'Billing'
01240333033,2003,'Billing'
01240334004,2003,'Billing'
01240333037,2003,'Billing'
01240334015,2003,'Billing'
01240334034,2003,'Billing'
01240333009,2003,'Billing'
01240333026,2003,'Billing'
01240334033,2003,'Billing'
01240334026,2003,'Billing'
01240334029,2003,'Billing'
01240333031,2003,'Billing'
01240334003,2003,'Billing'
01240334037,2003,'Billing'
01240333024,2003,'Billing'
01240327003,2003,'Billing'
01240323028,2009,'Billing'
01240333034,2003,'Billing'
01240333030,2003,'Billing'
01240334012,2003,'Billing'
01240333023,2003,'Billing'
01240323027,2009,'Billing'
01240323024,2009,'Billing'
01240323026,2009,'Billing'
01240323021,2009,'Billing'
01240323018,2009,'Billing'
01240323020,2009,'Billing'
01240323016,2009,'Billing'
01240400062,2010,'Billing'
01240401004,2008,'Billing'
01240323017,2009,'Billing'
01240323025,2009,'Billing'
01240401005,2008,'Billing'
01240323075,2010,'Billing'
01240401003,2008,'Billing'
01240323031,2010,'Billing'
01240401006,2008,'Billing'
01240401002,2008,'Billing'
01240401008,2008,'Billing'
01240323029,2010,'Billing'
01240400064,2010,'Billing'
01240400010,2010,'Billing'
01240401007,2008,'Billing'
01240318077,2022,'Billing'
01240323015,2009,'Billing'
01240405050,2012,'Billing'
01240401020,2010,'Billing'
01240328040,2010,'Billing'
01240401001,2008,'Billing'
01240401011,2010,'Billing'
01240400022,2010,'Billing'
01240401017,2010,'Billing'
01240405037,2003,'Billing'
01240405036,2003,'Billing'
01240402001,2003,'Billing'
01240323030,2010,'Billing'
01240400014,2010,'Billing'
01240402002,2003,'Billing'
01240401021,2010,'Billing'
01240400013,2010,'Billing'
01240401016,2010,'Billing'
01240401013,2010,'Billing'
01240401018,2010,'Billing'
01240400015,2010,'Billing'
01240205034,2018,'Billing'
01240400028,2010,'Billing'
01240323074,2009,'Billing'
01240401015,2010,'Billing'
01240402047,2010,'Billing'
01240405016,2010,'Billing'
01240400016,2010,'Billing'
01240400017,2010,'Billing'
01240400012,2010,'Billing'
01240409005,2003,'Billing'
01240408033,2003,'Billing'
01240400025,2010,'Billing'
01240401012,2010,'Billing'
01240400063,2010,'Billing'
01240408005,2003,'Billing'
01240400057,2010,'Billing'
01240401010,2010,'Billing'
01240401014,2010,'Billing'
01240405015,2010,'Billing'
01240409003,2003,'Billing'
01240407057,2023,list index out of range
01240400019,2010,'Billing'
01240402046,2010,'Billing'
01240401009,2010,'Billing'
01240406001,2022,'Billing'
01240408004,2003,'Billing'
01240401019,2010,'Billing'
01240408021,2003,'Billing'
01240408020,2003,'Billing'
01240400011,2010,'Billing'
01240405042,2012,'Billing'
01240406012,2012,'Billing'
01240402025,2010,'Billing'
01240402024,2010,'Billing'
01240408007,2010,'Billing'
01240408006,2010,'Billing'
01240409073,2020,'Billing'
01240402022,2010,'Billing'
01240402026,2010,'Billing'
01240409004,2003,'Billing'
01240416004,2022,'Billing'
01240408015,2003,'Billing'
01240406014,2012,'Billing'
01240408003,2003,'Billing'
01240405045,2012,'Billing'
01240405047,2012,'Billing'
01240408016,2003,'Billing'
01240405043,2012,'Billing'
01240416054,2003,'Billing'
01240402023,2010,'Billing'
01240416032,2003,'Billing'
01240409001,2003,'Billing'
01240409072,2020,'Billing'
01240408044,2022,'Billing'
01240407027,2022,'Billing'
01240405044,2012,'Billing'
01240412003,2022,'Billing'
01240404024,2013,'Billing'
01240416033,2003,'Billing'
01240409067,2010,'Billing'
01240409068,2010,'Billing'
01240406013,2012,'Billing'
01240421059,2010,'Billing'
01240407032,2012,'Billing'
01240412002,2022,'Billing'
01240408050,2022,'Billing'
01240413011,2011,'Billing'
01240408032,2003,'Billing'
